NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Madhya Pradesh,Anuppur,3791.0,,,
Madhya Pradesh,Ashoknagar,3861.0,,,
Madhya Pradesh,Balaghat,3861.0,,,
Madhya Pradesh,Barwani,3696.0,,,
Madhya Pradesh,Betul,3696.0,,,
Madhya Pradesh,Bhind,3686.0,,,
Madhya Pradesh,Bhopal,3861.0,,,
Madhya Pradesh,Burhanpur,3864.0,,,
Madhya Pradesh,Chhatarpur,3780.0,,,
Madhya Pradesh,Chhindwara,3861.0,,,
Madhya Pradesh,Damoh,3861.0,,,
Madhya Pradesh,Datia,3772.0,,,
Madhya Pradesh,Dewas,3861.0,,,
Madhya Pradesh,Dhar,3861.0,,,
Madhya Pradesh,Dindori,3735.0,,,
Madhya Pradesh,East Nimar,3861.0,,,
Madhya Pradesh,Guna,3861.0,,,
Madhya Pradesh,Gwalior,3781.0,,,
Madhya Pradesh,Harda,3866.0,,,
Madhya Pradesh,Hoshangabad,3866.0,,,
Madhya Pradesh,Indore,3861.0,,,
Madhya Pradesh,Jabalpur,3861.0,,,
Madhya Pradesh,Jhabua,3858.0,,,
Madhya Pradesh,Katni,3861.0,,,
Madhya Pradesh,Mandla,3861.0,,,
Madhya Pradesh,Mandsaur,3861.0,,,
Madhya Pradesh,Morena,3686.0,,,
Madhya Pradesh,Narsimhapur,3866.0,,,
Madhya Pradesh,Neemuch,3809.0,,,
Madhya Pradesh,Panna,3780.0,,,
Madhya Pradesh,Raisen,3861.0,,,
Madhya Pradesh,Rajgarh,3861.0,,,
Madhya Pradesh,Ratlam,3861.0,,,
Madhya Pradesh,Rewa,3780.0,,,
Madhya Pradesh,Sagar,3861.0,,,
Madhya Pradesh,Satna,3780.0,,,
Madhya Pradesh,Sehore,3861.0,,,
Madhya Pradesh,Seoni,3861.0,,,
Madhya Pradesh,Shahdol,3859.0,,,
Madhya Pradesh,Shajapur,3861.0,,,
Madhya Pradesh,Sheopur,3686.0,,,
Madhya Pradesh,Shivpuri,3861.0,,,
Madhya Pradesh,Sidhi,3859.0,,,
Madhya Pradesh,Singrauli,3785.0,,,
Madhya Pradesh,Tikamgarh,3780.0,,,
Madhya Pradesh,Ujjain,3861.0,,,
Madhya Pradesh,Umaria,3859.0,,,
Madhya Pradesh,Vidisha,3861.0,,,
Madhya Pradesh,West Nimar,3861.0,,,
Maharashtra,Ahmadnagar,3861.0,,,
Maharashtra,Akola,3861.0,,,
Maharashtra,Amravati,3861.0,,,
Maharashtra,Aurangabad,3861.0,,,
Maharashtra,Bhandara,3861.0,,,
Maharashtra,Bid,3861.0,,,
Maharashtra,Buldana,3861.0,,,
Maharashtra,Chandrapur,3866.0,,,
Maharashtra,Dhule,3861.0,,,
Maharashtra,Garhchiroli,3714.0,,,
Maharashtra,Gondiya,3861.0,,,
Maharashtra,Hingoli,3861.0,,,
Maharashtra,Jalgaon,3861.0,,,
Maharashtra,Jalna,3861.0,,,
Maharashtra,Kolhapur,3656.0,,,
Maharashtra,Latur,3861.0,,,
Maharashtra,Mumbai City,3756.0,,,
Maharashtra,Mumbai Suburban,3756.0,,,
Maharashtra,Nagpur,3861.0,,,
Maharashtra,Nanded,3861.0,,,
Maharashtra,Nandurbar,3697.0,,,
Maharashtra,Nashik,3861.0,,,
Maharashtra,Osmanabad,3861.0,,,
Maharashtra,Palghar,6669.0,,,
Maharashtra,Parbhani,3861.0,,,
Maharashtra,Pune,3711.0,,,
Maharashtra,Raigarh,6669.0,,,
Maharashtra,Ratnagiri,3818.0,,,
