NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Himachal Pradesh,Mandi,3661.0,33.233333333333334,28.733333333333334,38.03333333333333
Himachal Pradesh,Shimla,3661.0,33.233333333333334,28.733333333333334,38.03333333333333
Himachal Pradesh,Sirmaur,3661.0,33.233333333333334,28.733333333333334,38.03333333333333
Himachal Pradesh,Solan,3671.0,39.625,23.55,36.825
Himachal Pradesh,Una,3799.0,35.825,31.1,33.075
Jammu and Kashmir,Anantnag,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Badgam,3680.0,37.63,23.53,38.84
Jammu and Kashmir,Bandipore,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Baramulla,3680.0,37.63,23.53,38.84
Jammu and Kashmir,Doda,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Ganderbal,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Jammu,3799.0,35.825,31.1,33.075
Jammu and Kashmir,Kargil,6998.0,-2.0,-2.0,-2.0
Jammu and Kashmir,Kathua,3799.0,35.825,31.1,33.075
Jammu and Kashmir,Kishtwar,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Kulgam,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Kupwara,3712.0,16.25,2.85,12.333333333333334
Jammu and Kashmir,Leh (Ladakh),3713.0,17.1,5.033333333333333,9.3
Jammu and Kashmir,Poonch,3672.0,39.625,23.55,36.825
Jammu and Kashmir,Pulwama,3680.0,37.63,23.53,38.84
Jammu and Kashmir,Rajouri,3672.0,39.625,23.55,36.825
Jammu and Kashmir,Ramban,3672.0,39.625,23.55,36.825
Jammu and Kashmir,Reasi,3672.0,39.625,23.55,36.825
Jammu and Kashmir,Samba,3799.0,35.825,31.1,33.075
Jammu and Kashmir,Shupiyan,3680.0,37.63,23.53,38.84
Jammu and Kashmir,Srinagar,3680.0,37.63,23.53,38.84
Jammu and Kashmir,Udhampur,3672.0,39.625,23.55,36.825
Jharkhand,Bokaro,3788.0,25.025,13.725,6.8
Jharkhand,Chatra,3785.0,30.725,51.875,17.4
Jharkhand,Deoghar,3834.0,25.02,32.57,20.63
Jharkhand,Dhanbad,3788.0,25.025,13.725,6.8
Jharkhand,Dumka,3834.0,25.02,32.57,20.63
Jharkhand,Garhwa,3791.0,35.233333333333334,34.11666666666667,30.65
Jharkhand,Giridih,3834.0,25.02,32.57,20.63
Jharkhand,Godda,3806.0,38.26,24.71,37.03
Jharkhand,Gumla,3819.0,31.9,29.32,17.0
Jharkhand,Hazaribagh,3785.0,30.725,51.875,17.4
Jharkhand,Jamtara,3834.0,25.02,32.57,20.63
Jharkhand,Khunti,3819.0,31.9,29.32,17.0
Jharkhand,Kodarma,3659.0,29.566666666666666,45.666666666666664,24.766666666666666
Jharkhand,Latehar,3791.0,35.233333333333334,34.11666666666667,30.65
Jharkhand,Lohardaga,3727.0,16.425,15.9,13.225
Jharkhand,Pakur,3806.0,38.26,24.71,37.03
Jharkhand,Palamu,3681.0,36.5125,24.7875,38.7
Jharkhand,Pashchimi Singhbhum,3729.0,11.675,26.275,7.6
Jharkhand,Purbi Singhbhum,6668.0,37.94,23.16,17.12
Jharkhand,Ramgarh,3834.0,25.02,32.57,20.63
Jharkhand,Ranchi,3819.0,31.9,29.32,17.0
Jharkhand,Sahibganj,3834.0,25.02,32.57,20.63
Jharkhand,Saraikela-kharsawan,3860.0,37.766666666666666,37.2,25.033333333333335
Jharkhand,Simdega,3791.0,35.233333333333334,34.11666666666667,30.65
Karnataka,Bagalkot,3867.0,33.95,36.95,29.1
Karnataka,Bangalore,3824.0,41.11666666666667,39.21666666666667,19.666666666666668
Karnataka,Bangalore Rural,3824.0,41.11666666666667,39.21666666666667,19.666666666666668
Karnataka,Belgaum,3861.0,14.2,32.45,17.05
Karnataka,Bellary,3781.0,22.45,25.95,15.3
Karnataka,Bidar,3861.0,14.2,32.45,17.05
Karnataka,Bijapur,3861.0,14.2,32.45,17.05
Karnataka,Chamrajnagar,3781.0,22.45,25.95,15.3
Karnataka,Chikballapura,3781.0,22.45,25.95,15.3
Karnataka,Chikmagalur,3656.0,25.95,23.85,13.9
Karnataka,Chitradurga,3781.0,22.45,25.95,15.3
Karnataka,Dakshina Kannada,3817.0,39.125,38.0,22.875
Karnataka,Davanagere,3781.0,22.45,25.95,15.3
Karnataka,Dharwad,3825.0,41.11666666666667,39.21666666666667,19.666666666666668
Karnataka,Gadag,3773.0,40.15,39.65,20.2
Karnataka,Gulbarga,3861.0,14.2,32.45,17.05
Karnataka,Hassan,3781.0,22.45,25.95,15.3
Karnataka,Haveri,3781.0,22.45,25.95,15.3
Karnataka,Kodagu,3826.0,35.25,46.266666666666666,18.483333333333334
Karnataka,Kolar,3781.0,22.45,25.95,15.3
Karnataka,Koppal,3773.0,40.15,39.65,20.2
Karnataka,Mandya,3781.0,22.45,25.95,15.3
Karnataka,Mysore,3781.0,22.45,25.95,15.3
Karnataka,Raichur,3867.0,33.95,36.95,29.1
Karnataka,Ramanagara,3782.0,30.366666666666667,18.066666666666666,15.266666666666667
Karnataka,Shimoga,3825.0,41.11666666666667,39.21666666666667,19.666666666666668
Karnataka,Tumkur,3781.0,22.45,25.95,15.3
Karnataka,Udupi,3817.0,39.125,38.0,22.875
Karnataka,Uttara Kannada,3656.0,25.95,23.85,13.9
Karnataka,Yadgir,3867.0,33.95,36.95,29.1
Kerala,Alappuzha,3844.0,52.38333333333333,21.833333333333332,25.783333333333335
Kerala,Ernakulam,3817.0,39.125,38.0,22.875
Kerala,Idukki,3656.0,25.95,23.85,13.9
Kerala,Kannur,3817.0,39.125,38.0,22.875
Kerala,Kasaragod,3817.0,39.125,38.0,22.875
Kerala,Kollam,3817.0,39.125,38.0,22.875
Kerala,Kottayam,3817.0,39.125,38.0,22.875
Kerala,Kozhikode,3817.0,39.125,38.0,22.875
Kerala,Malappuram,3817.0,39.125,38.0,22.875
Kerala,Palakkad,3656.0,25.95,23.85,13.9
Kerala,Pathanamthitta,3656.0,25.95,23.85,13.9
Kerala,Thiruvananthapuram,3817.0,39.125,38.0,22.875
Kerala,Thrissur,3656.0,25.95,23.85,13.9
Kerala,Wayanad,3824.0,41.11666666666667,39.21666666666667,19.666666666666668
Lakshadweep,Lakshadweep,3844.0,52.38333333333333,21.833333333333332,25.783333333333335
Madhya Pradesh,Agar Malwa,3861.0,14.2,32.45,17.05
Madhya Pradesh,Alirajpur,3696.0,26.29,30.79,21.14
Madhya Pradesh,Anuppur,3791.0,35.233333333333334,34.11666666666667,30.65
Madhya Pradesh,Ashoknagar,3861.0,14.2,32.45,17.05
Madhya Pradesh,Balaghat,3861.0,14.2,32.45,17.05
Madhya Pradesh,Barwani,3696.0,26.29,30.79,21.14
Madhya Pradesh,Betul,3696.0,26.29,30.79,21.14
Madhya Pradesh,Bhind,3686.0,34.55,12.583333333333334,16.566666666666666
Madhya Pradesh,Bhopal,3861.0,14.2,32.45,17.05
Madhya Pradesh,Burhanpur,3864.0,26.275,46.925,26.8
Madhya Pradesh,Chhatarpur,3780.0,15.283333333333333,28.7,19.716666666666665
Madhya Pradesh,Chhindwara,3861.0,14.2,32.45,17.05
